id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6332990;Loft con Wifi en el Madrid Centro;182;14/03/2021;84;9;9;9;9;9;9;1;255
6333703;Loft with two terrace - 15 min to down town;54;04/07/2020;90;9;9;10;10;9;9;0;75
6336277;Penthouse in Plaza Mayor with terrace and views;135;01/03/2020;98;10;10;10;10;10;10;0;202
6343738;Piso de lujo, centro de Madrid;57;25/11/2019;94;9;9;9;10;10;9;0;81
6382038;Wonderful studio in the centre;23;23/05/2018;88;9;9;9;9;10;9;0;33
6382107;Loft neighborhood Barrio de la Concepción;49;08/01/2020;96;10;10;10;10;10;10;0;86
6382192;Lovely 2 bedroom apartment;2;01/08/2016;100;10;10;10;10;10;8;0;3
6387909;Hermoso Estudio Centro de Madrid - Zoe;153;31/01/2021;94;9;9;10;10;10;9;1;213
6389319;Study Compartido;98;18/06/2018;86;9;9;9;9;9;9;0;136
6397813;APARTMENT 6PAX 6HAB CENTRO GRAN VIA  PUERTA SOL;277;15/08/2020;84;8;9;9;10;10;8;1;39
6398938;Wonderfull home in the center of Madrid for 4 days;13;23/10/2018;80;7;8;8;10;10;8;0;18
6410739;Palacete en el centro de Madrid;2;29/02/2016;100;9;10;10;10;10;9;0;3
6411343;ÁTICO EN MADRID LE TEMP PERDU;343;08/04/2021;89;8;8;9;8;9;8;1;478
6412588;Se alquila  hab individual;0;01/12/1999;0;0;0;0;0;0;0;0;0
6413068;Apartamento junto a Plaza España;0;01/12/1999;0;0;0;0;0;0;0;0;0
6413102;Habitación acogedora;26;02/06/2019;95;9;10;10;10;9;9;0;45
6415505;Bright and cozy apartment in Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6420062;STUDIO-LOFT IN PLAZA DE ESPAÑA;21;14/07/2019;80;8;8;8;8;10;8;1;3
6420159;PRETTY BEDROOM PLAZA MAYOR;100;07/09/2019;86;9;9;9;9;10;9;0;14
6423447;Piso y habitación en Ciudad Lineal;1;08/03/2016;0;0;0;0;0;0;0;0;2
6432904;Ap Center Madrid With Swimming pool;25;01/09/2019;96;9;10;10;10;10;10;0;35
6436381;SPECIAL ROOM FOR STUDENT;19;31/07/2020;95;10;10;10;10;9;9;0;26
6440948;Precioso Apartamento con encanto;0;01/12/1999;0;0;0;0;0;0;0;0;0
6442730;Estudio Malasaña Palma;432;26/08/2020;84;9;8;9;9;10;8;1;601
6444366;Private Room in Eclectic Malasaña;1;31/08/2015;100;8;6;10;10;10;10;0;1
6454937;HERMOSA HABITACION  INDIVIDUAL;7;29/09/2019;91;9;10;10;9;9;9;0;13
6456087;Atico en Madrid;9;01/08/2019;98;10;10;10;10;10;10;0;13
6460851;GREAT FLAT AWESOME LOCATION-PARKING;276;10/03/2020;95;10;10;9;10;10;10;0;384
6469256;Se alquila 1 hab individual;0;01/12/1999;0;0;0;0;0;0;0;0;0
6469268;Se alquila hab individual;0;01/12/1999;0;0;0;0;0;0;0;0;0
6470318;Habitación interior luminosa y tranquila;244;12/04/2021;98;10;9;10;10;10;10;0;426
6472884;Appartement lumineux, cosy et bien desservi;4;10/09/2017;80;8;8;9;9;9;8;0;8
6474593;“Triangle of Art in Madrid”;190;20/07/2020;99;10;10;10;10;10;10;0;27
6477859;El Loft de tus sueños en el centro de Madrid!;38;02/01/2020;100;10;10;10;10;10;10;0;54
6478676;"2 Bedrooms near famous Rastro ""  La Latina""";28;27/02/2020;89;9;10;10;9;9;9;1;46
6485459;Apartment-Loft Casado del Alisal;0;01/12/1999;0;0;0;0;0;0;0;0;0
6500135;ATOCHA Sol, Studio, WIFI, AC;0;01/12/1999;0;0;0;0;0;0;0;0;0
6500469;Acogedora habitación en el centro;1;05/07/2016;60;10;8;10;10;8;10;0;2
6507502;Opera / Royal Palace apartment;156;04/04/2021;98;10;10;10;10;10;9;0;22
6510436;Centric & cosy apartment in Chueca;0;01/12/1999;0;0;0;0;0;0;0;0;0
6524154;Habitación muy luminosa y silenciosa Madrid Centro;0;01/12/1999;0;0;0;0;0;0;0;0;0
6532332;SUNNY TERRACE, PARKING - LOCATION!;237;08/03/2020;94;10;9;10;10;10;9;0;33
6533726;Exterior apartment General Oraa;0;01/12/1999;0;0;0;0;0;0;0;0;0
6541133;Habitación individual en casa linda;20;20/03/2020;94;10;10;10;9;9;10;0;28
6542548;Habitación Casa c.Patio Cama M. c.del Palacio Real;75;24/06/2020;96;10;10;10;10;9;10;0;105
6542642;THE BEST LOCATION-2 STEPS FROM GRAN VÍA! (V10);349;14/02/2021;98;10;10;10;10;10;10;1;487
6542768;"""Habitación Sunny Chic"" - OFFER MARCH-";5;09/03/2021;92;8;8;10;10;10;8;0;1
6543446;-HABITACION AMPLIA Lovely Chic- OFFER APRIL-;10;04/02/2021;92;10;9;10;10;10;9;0;14
6543624;Fab penthouse in hip neighbourhood;13;01/05/2017;98;10;9;10;10;10;10;0;19
6547415;Cheerful apartment - Lagasca II;6;22/10/2018;83;10;9;10;10;10;8;0;11
6548167;NIce apartment in City center;45;19/03/2019;95;10;10;10;10;10;9;0;63
6549680;Amplia habitación junto al Retiro;105;07/07/2019;98;10;10;10;10;10;10;0;155
6551172;Private room and bathroom Puerta Toledo;0;01/12/1999;0;0;0;0;0;0;0;0;0
6554344;Nice room with balcony, Wifi;20;09/01/2017;88;9;9;10;10;8;9;1;31
6563064;Beautiful private apt by ReinaSofia;367;16/12/2020;92;9;8;9;9;10;8;0;518
6568035;Luminoso Tranquilo Parque El Retiro;76;30/09/2018;98;10;10;10;10;10;10;0;108
6568756;PENTHOUSE WITH NICE VIEWS OF MADRID;222;16/03/2020;97;10;10;10;10;10;10;0;311
6571886;ALQUILO APARTAMENTO CENTRICO AGOSTO;0;01/12/1999;0;0;0;0;0;0;0;0;0
6572976;Piso totalmente reformado, proximo al centro;59;26/02/2020;93;10;10;10;10;9;9;0;122
6574016;Studio with Roof Top Terrace;1;11/08/2015;100;10;10;10;10;10;10;0;1
6575326;Spacious room in Attic;0;01/12/1999;0;0;0;0;0;0;0;0;0
6579059;Cozy room in attic.;0;01/12/1999;0;0;0;0;0;0;0;0;0
6592291;Atractiva habitación en Ático;0;01/12/1999;0;0;0;0;0;0;0;0;0
6596938;Céntrico,tranquilo y lujoso.Piscina;0;01/12/1999;0;0;0;0;0;0;0;0;0
6606334;Habitación Individual;0;01/12/1999;0;0;0;0;0;0;0;0;0
6607202;Habitación privada en Madrid Centro;21;09/02/2020;96;10;10;10;10;10;9;0;3
6615853;Casa Moratín Dúplex 240m Centro.;111;04/01/2020;99;10;10;10;10;10;10;0;156
6616100;Don Quijote y Dulcinea;7;08/07/2018;94;10;9;9;9;10;10;0;1
6622630;La Latina Habitación en pleno centro Madrid.;0;01/12/1999;0;0;0;0;0;0;0;0;0
6631126;Double room in the center of Madrid;5;02/06/2019;95;10;10;10;10;10;10;0;9
6633231;Sunny and bright apartment;33;17/03/2020;92;9;9;10;9;8;9;0;48
6636431;Single Room in the heart of Madrid;198;15/03/2020;97;10;10;10;10;10;10;0;285
6637689;5. Habitación en pleno centro de Malasaña;414;07/03/2020;88;9;9;10;9;10;9;1;58
6644323;Madrid centre rooms in 98m2 appartment;6;29/03/2018;85;9;9;9;10;10;9;0;8
6647742;Modern  apartment Madrid Center;1;08/07/2015;100;10;10;10;10;10;10;0;1
6648902;Functional studio in Madrid.;79;28/03/2021;100;10;10;10;10;10;10;0;114
6650003;WONDERFUL FLAT IN HEART OF MADRID;66;16/10/2016;93;10;9;10;10;10;9;0;93
6663211;Habitación en GOYA(WiZink center)barrio Salamanca.;10;31/01/2021;98;10;10;10;10;10;10;0;15
6669701;Luminosa habitación en el centro;1;09/06/2015;0;0;0;0;0;0;0;0;1
6670334;Beautiful 3 bedroom apartment  in José Abascal;1;16/10/2015;100;10;10;10;10;10;8;0;1
6670853;Habitación de verano en Madrid;2;31/07/2015;100;10;9;10;10;10;10;0;3
6672682;Madrid Center Flat;32;02/11/2019;88;9;9;10;10;10;9;0;46
6674777;AMAZING APARTMENT SANTA ANA;0;01/12/1999;0;0;0;0;0;0;0;0;0
6681279;Fantastico Piso Barrio de Salamanca;0;01/12/1999;0;0;0;0;0;0;0;0;0
6681663;Apto. en pleno Atocha-Lavapies;62;29/02/2020;98;10;10;10;10;10;10;0;102
6686871;Hotel Florida Norte;0;01/12/1999;0;0;0;0;0;0;0;0;0
6688832;Culture & Cuisine in the Centre;32;08/12/2019;97;10;10;10;10;10;10;0;59
6702533;Habitación grande cerca Madrid rio;0;01/12/1999;0;0;0;0;0;0;0;0;0
