name,latitude,longitude
Sunny bdm. One of Madrid best areas,40.43287,-3.7007
Up to 4 people flat central Madrid,40.40222,-3.68096
LOVELY & BOHEMIAN IN MADRID HEART,40.40419,-3.70383
Habitacion Madrid Centro MUY BIEN SITUADO!,40.42136,-3.70541
Charming attic- center of Madrid,40.4064,-3.70898
Elegant & Confortable apartment in the center,40.43189,-3.67793
I share my flat.Two bedroom.Women.,40.37609,-3.74279
ROYAL PALACE- OPERA- PLAZA MAYOR- LATINA- SOL,40.41747,-3.70979
house-hotel,40.4696,-3.65012
Lujo a tu alcance,40.47444,-3.67135
hab individual  en madrid,40.39992,-3.69537
Habitación doble  luminosa,40.40066,-3.69719
Amazing 11th floor with a/a for 8 people,40.36089,-3.69594
LOVELY APT AT THE CENTER: LA LATINA,40.41261,-3.7088
Tranquilo y cómodo apartamento en Madrid 5PAX,40.35701,-3.69643
Madrid Central Modern Apartment,40.4256,-3.70436
alquilo habitación,40.43003,-3.67429
Cosy double room Madrid,40.45519,-3.7060
Apartment  in the center of Madrid,40.41389,-3.70461
"""Great Velazquez Apartment & Area""",40.44374,-3.68161
Apartment in the heart of Madrid,40.41697,-3.70732
AIRPORT/IFEMA INDIVIDUAL BATHROOM,40.4523,-3.59142
Just in the centre: Malasaña/Chueca,40.42616,-3.70263
Unique stylish near Royal Palace,40.41222,-3.71365
40M2 LOFT GREAT FOR STUDENT 100M WF,40.50069,-3.68994
LOVELY FLAT IN PLAZA DE CHUECA,40.42536,-3.69887
2 APT CENTRO MADRID- TIRSO DE MOLINA,40.4107,-3.70253
Beautiful flat in Madrid Moncloa,40.43998,-3.71405
CENTRIC NEAR TO M30- 2 BEDROOMS,40.39368,-3.66975
APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR,40.41534,-3.70757
APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE,40.41826,-3.71244
Beautiful flat in the center!,40.42881,-3.70401
A place for your accommodation,40.43653,-3.70421
Independent room for students,40.41731,-3.6731
Agradable- funcional y luminoso (Tirso- La Latina),40.40812,-3.70531
Habitación en Lavapies,40.41102,-3.70083
Bonita  habitación con doble cama,40.40449,-3.70463
WIFI B&B - BATH- TWO BEDS- CENTER- AWESOME.,40.40449,-3.70463
Stylish apartment in the city center,40.42329,-3.70833
Host family in the center of Madrid,40.40333,-3.7025
Estudio en el Paseo del Pintor Rosa,40.42796,-3.72054
Holiday Estudio  Madrid Center,40.42057,-3.70486
Gran apartamento Plaza de España (ref. VT-2053),40.42482,-3.71084
Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.,40.41429,-3.70649
2br Apartment La Latina / Rastro,40.40687,-3.70917
WIFI. Big Bargain. Cosy. Charm. :),40.41233,-3.70641
ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES,40.40788,-3.73147
APARTMENT IN THE CENTRE OF MADRID.,40.41382,-3.69514
SINGLE BED & VERY NICE GREEN ROOM.,40.42761,-3.6158
Centro/Apartm/Plaza Mayor/Wifi/cozy,40.41497,-3.70853
?THE GEM. Steps away from everywhere?,40.41805,-3.70848
Madrid center-Fuencarral pedestrian,40.42333,-3.69989
Dúplex-Penthouse Cuzco-Castellana Smart,40.45989,-3.69472
Compostela Suites Madrid Airport / 2BD,40.44791,-3.57918
Compostela Suites Madrid Aeropuerto,40.44655,-3.58128
DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.,40.41399,-3.70776
Compostela Suites Madrid Airport,40.4483,-3.57965
Madrid Apartment Esparteros,40.41522,-3.70414
ROYAL PALACE - THE OLD TOWN  MADRID,40.40789,-3.71404
Estudio en pleno centro de Madrid,40.41189,-3.70107
Precioso estudio y terraza en el corazón de Madrid,40.41166,-3.71007
Amplia habitación 1 persona,40.46154,-3.63003
BEAUTIFUL HOUSE CENTER MADRID WIFI,40.40645,-3.70109
Hermoso loft  Puerta del Sol centro - María,40.41403,-3.70453
Centric bright  large room in Malasaña,40.42874,-3.6996
Apartamento en Centro Madrid +WIFI,40.40997,-3.70155
PADDLE POOL ROOM LUXURY,40.47974,-3.66852
single room in Malasaña- Madrid,40.42507,-3.70663
Sunny loft close to museums and Atocha,40.40869,-3.6975
Nice flat in Madrid city centre,40.40115,-3.69657
Single room in La Latina citycenter,40.40876,-3.70878
alquilo habitacion con baño,40.47731,-3.66659
Great location in front of Park,40.42853,-3.72286
Luxury home in an old Convent.,40.41027,-3.7122
NEW BETWEEN GRAN VIA AND SOL (WIFI),40.42162,-3.71158
Prime location 40 m PLaza MAYOR,40.41411,-3.70862
Cosy flat with terrace near subway,40.43602,-3.63506
Apartment in historic center Madrid,40.41495,-3.70941
Habitacion cerca del aeropuerto Barajas,40.47281,-3.58827
Charmy Apartment Chueca's Square,40.42242,-3.69674
Alojamiento en familia- Madrid,40.4403,-3.63464
Apartamento vistas a la Catedral.,40.41089,-3.70689
Cozy  room in Madrid - Atocha (3),40.4077,-3.68473
wonderful apartment in the center.,40.4112,-3.69567
Madirid Historical Center.Bathroom,40.41013,-3.70453
Your Room in Madrid,40.44214,-3.63756
Charming Loft in Madrid center,40.40857,-3.69801
Apartment in Chamberi,40.43715,-3.69866
Beautiful apartment in the center,40.42556,-3.70175
NICE FAMILY APARTMENT 120SQ. METER,40.46913,-3.58258
El gusto por los nuevos encuentros,40.39826,-3.66722
PENTHOUSE STUDIO APARTMENT MADRID CENTER,40.42841,-3.71386
Big cozy room in Atocha (2),40.40646,-3.68289
Cozy room - Atocha (1),40.40625,-3.68479
Cute and cozy apartment,40.44919,-3.71006
GRAN VIA chic & chill  WIFI-A/C,40.41726,-3.70269
BEST LOCATION IN CENTRAL MADRID SOL-MAYOR,40.41601,-3.70951
Clean room in the heart of Madrid,40.41858,-3.70077
Apartamento en Madrid ideal grupos,40.40721,-3.64994
YOUR CUTE PRIVATE ROOM & BATHROOM,40.41826,-3.71188
Madrid´s La Latina Violet Room,40.40903,-3.70786
Apartamento en Malasaña,40.42294,-3.70468
Lovely Apartment near Gran vía,40.42741,-3.70807
flat in Madrid close to the center,40.39742,-3.76862
PLAZA SANTA ANA,40.41454,-3.6991
Habitación zona céntrica vistas par,40.47203,-3.6662
Madrid Plenilunio,40.44416,-3.57199
BOHEMIAN APT MADRID OLD TOWN CENTRE,40.40964,-3.71139
Room in central apartment- good breakfast included,40.40076,-3.69641
\\\\\\\\\\\\\LAST MINUTE APRIL!!!!!!!/////////,40.40956,-3.7009
Habitación privada en plaza españa,40.42106,-3.71121
APARTAMENTO DE DISEÑO NUEVO EN EL RASTRO,40.40818,-3.70191
Nice flat in Madrid City Center,40.40873,-3.69961
Designer Loft unbeatable location,40.42298,-3.70895
B&B in a bright room- Madrid!+wiffi,40.4449,-3.63508
Cozy apartment in Madrids best area,40.42551,-3.67958
Spacious flat w amazing sightseeing,40.42151,-3.7098
3 BR sunny apartment Madrid Center,40.43741,-3.71162
Flat Right in the Center- with Screen Projector & Netflix,40.42656,-3.7036
Lovely attic in Malasaña  WIFI,40.42849,-3.70194
Madrid Rio,40.39505,-3.70763
NICEStay_High Value(WhiteRoom)_WIFI,40.40726,-3.74174
Cozy and Quiet Apartment in Madrid,40.41482,-3.70266
Quiet and comfortable in the Center of Madrid,40.41482,-3.70266
Cozy and Design Apartment,40.42187,-3.68775
Studio apartment Chamartin station,40.47058,-3.68539
ALQUILO HABITACION,40.43065,-3.67261
YOUR CUTE APTO IN MADRID CENTER,40.41825,-3.71239
LUMINOSO- ACOGEDOR EN PLENO CENTRO,40.41174,-3.70271
Center of Madrid,40.40766,-3.69952
Apartamento 2 céntrico Sol Madrid.,40.41845,-3.70544
Apartamento 1 céntrico Sol Madrid.,40.41866,-3.70547
Apartamento 3 céntrico Sol Madrid.,40.42062,-3.70766
Habitacion Reservada Madrid,40.4334,-3.65682
Bedroom with bathroom in Malasaña,40.42157,-3.70539
Hoy Puede Ser Un Gran Día!!,40.38901,-3.64185
ROOM IN MALASAÑA- IN CENTER OF MADRID,40.42613,-3.70534
Estudio de diseño en el centro,40.42473,-3.67977
PENTHOUSE with Lovely Terrace,40.42194,-3.70194
MADRID CENTER RETIRO PARKING +WIFI,40.41873,-3.67761
CoV19 Free Chic & Sunny Apt. Historic District-Sol,40.41538,-3.70351
CENTER just WALK & ENJOY LastMinute,40.42259,-3.70152
MORATÍN - Cozy upscale apt museum mile AC,40.41245,-3.69688
Zonamuseos. Loft  luminoso y alegre,40.40788,-3.69564
