id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
45716031;Habitación ideal para un buen descanso;124833429;08/04/2017;a few days or more;;0;0;0
45720124;Habitacion de 4x3 m. En ático barrio Salamanca;358901343;27/07/2020;Sin definir;;0;1;1
45720714;New Atocha Premium Apartment 4 Pax;20437430;23/08/2014;within an hour;;0;45;1
45729419;Cozy&Cute Apartment I City centre I Relaxing Stay;52306837;26/12/2015;Sin definir;;1;10;1
45745717;Amplia y luminosa habitación hotel larga estancia;156870128;31/10/2017;within a few hours;;0;4;0
45746271;Incredible studio in La Latina;265147782;30/05/2019;within a few hours;;0;1;1
45747271;Incredible 1 bedroom apartament in La Latina;265147782;30/05/2019;within a few hours;;0;1;1
45747992;LUJOSO APARTAMENTO EN EL  BARRIO DE SALAMANCA;258850169;29/04/2019;within a few hours;;0;31;1
45748891;Dúplex , dos dormitorios y dos baños;31774454;23/04/2015;within a few hours;;1;3;1
45749190;Claudio Coello XXVII;247570318;08/03/2019;within a day;;0;69;1
45749356;Claudio Coello XXIX;247570318;08/03/2019;within a day;;0;69;1
45751731;Apartment with one bedroom in Madrid, with WiFi;370903363;06/10/2020;Sin definir;;0;0;1
45752855;Habitación privada con WC, lavabo y ducha dentro;370915669;06/10/2020;Sin definir;;0;0;0
45755287;Cómoda habitación cerca del Metro Estrella;40072400;30/07/2015;Sin definir;;0;0;1
45759127;ALQUILO HABITACIÓN CERCA IFEMA, URJC, WANDA;144457564;05/08/2017;a few days or more;;0;2;1
45760145;Apartamento 2 dormitorios y 1 baño, segunda planta;31774454;23/04/2015;within a few hours;;1;3;1
45760624;Apartment with 2 bedrooms in Madrid, with WiFi;370904289;06/10/2020;Sin definir;;0;0;1
45760796;Loft 37 m2, primera planta, adaptado;31774454;23/04/2015;within a few hours;;1;3;1
45761162;APARTAMENTO GOYA Y WIKINCENTER;161257980;04/12/2017;within an hour;;0;1;1
45761659;Apartamento en  Puerta del SOL;254267435;09/04/2019;within an hour;;0;14;1
45762315;Bernabeu Parking Comfortable Apartment;392790154;16/03/2021;Sin definir;;0;34;0
45764568;"5 ROOMS APARTMENT IN ""LA LATINA"" (MADRID CENTER)";104954660;23/11/2016;within a day;;0;7;1
45770781;Ático con vistas en Madrid;9584862;22/10/2013;a few days or more;;0;0;1
45772183;Gran via - Habitación con baño privado y blacon;151651894;22/09/2017;within an hour;;0;0;1
45772438;Habitación malasaña;46372238;12/10/2015;Sin definir;;0;0;1
45777516;Habitación doble en el barrio de Salamanca;53179595;03/01/2016;within a day;;0;0;1
